Date,Avg_Load
2016-01,37007.67615405073
2016-02,33884.89737461073
2016-03,32723.53079403827
2016-04,34801.03907370934
2016-05,38348.134276271594
2016-06,46345.572188401624
2016-07,51364.21180003959
2016-08,49011.86605722141
2016-09,45769.18810448993
2016-10,39276.75042790304
2016-11,33963.839981194076
2016-12,37205.55136459018
2017-01,36715.608789293416
2017-02,34201.69360901756
2017-03,34941.69934270377
2017-04,36188.54799078708
2017-05,40432.89038697419
2017-06,47100.92367547598
2017-07,51518.08205916666
2017-08,48871.14530418145
2017-09,44582.97089809444
2017-10,38949.181775548386
2017-11,36031.854558957006
2017-12,39221.66638818414
2018-01,42055.702104883065
2018-02,38316.776081849704
2018-03,35208.46407282503
2018-04,35742.517567134724
2018-05,45302.43095004167
2018-06,51904.498327062494
2018-07,53249.993925853494
2018-08,52671.21541105914
2018-09,45114.499644063886
2018-10,39152.748598805105
2018-11,37606.2177404688
2018-12,38586.37406678226
2019-01,40079.92015375807
2019-02,38808.58876408333
2019-03,37396.89176439704
2019-04,37205.29711298472
2019-05,43047.62893824463
2019-06,48829.540351844444
2019-07,52717.886546012094
2019-08,56263.760421185485
2019-09,51791.437170931946
2019-10,41250.281736163975
2019-11,38577.64821024826
2019-12,39396.29529870968
2020-01,39022.63123113306
2020-02,40245.059757801726
2020-03,37959.26895256662
2020-04,37439.18986011806
2020-05,42028.343498501345
2020-06,49299.535883852775
2020-07,54186.10298612499
2020-08,54874.892075857526
2020-09,45550.75861034305
2020-10,42017.37410209274
2020-11,37882.64466576838
2020-12,40715.33745933468
